gp_lgd_code,district_name,block_name,gp_name,rwi_score
14010028,Anugul,Anugul,Angarbandha,0.2948
14010019,Anugul,Anugul,Antulia,-0.4502142857142857
14010006,Anugul,Anugul,Bada Kantakula,-0.3922
14010021,Anugul,Anugul,Badakera,-0.0197999999999999
14010029,Anugul,Anugul,Balanga,-0.418
14010030,Anugul,Anugul,Balasinga,0.0454444444444444
14010023,Anugul,Anugul,Baluakata Hq.Sabalabhanga,-0.108
14010031,Anugul,Anugul,Bantala,0.0777142857142857
14010005,Anugul,Anugul,Bara Gaunia,-0.1074
14010010,Anugul,Anugul,Basala,-0.0138571428571428
14010009,Anugul,Anugul,Beda Sasan,0.0013333333333333
14010026,Anugul,Anugul,Chheliapada,0.2816666666666667
14010032,Anugul,Anugul,Dhokuta,-0.0653333333333333
14010007,Anugul,Anugul,Gadataras,-0.2451111111111111
14010011,Anugul,Anugul,Inkar Bandha,0.1257142857142857
14010015,Anugul,Anugul,Jaganathpur,-0.6018888888888889
14010027,Anugul,Anugul,Kangula Bentapur,0.1694666666666666
14010025,Anugul,Anugul,Khalari,0.6442
14010008,Anugul,Anugul,Khinda,-0.055
14010014,Anugul,Anugul,Kothabhuin,-0.5378999999999999
14010022,Anugul,Anugul,Kumurisingha,-0.1282727272727273
14010016,Anugul,Anugul,Manika Jodi,-0.4780833333333333
14010020,Anugul,Anugul,Matiasahi,-0.1501666666666666
14010003,Anugul,Anugul,Nandapur,-0.3493846153846153
14010034,Anugul,Anugul,Nuamouza,0.190625
14010013,Anugul,Anugul,Pokatunga,-0.1732857142857143
14010002,Anugul,Anugul,Purunakote,-0.5559166666666667
14010024,Anugul,Anugul,Rantalei,0.1138333333333333
14010012,Anugul,Anugul,Sankhapur,0.25825
14010017,Anugul,Anugul,Saradhapur,-0.3644
14010033,Anugul,Anugul,Susuda,0.4133333333333333
14010018,Anugul,Anugul,Tainsi,-0.4596923076923077
14010004,Anugul,Anugul,Talagada,-0.40925
14010001,Anugul,Anugul,Tikarpada,-0.5241428571428571
14020009,Anugul,Atthamallik,Aida,-0.4371333333333334
14020017,Anugul,Atthamallik,Ambasara Mund,-0.4707368421052631
14020023,Anugul,Atthamallik,Basudevpur,-0.3145
14020011,Anugul,Atthamallik,Jamudoli,-0.4003333333333334
14020003,Anugul,Atthamallik,Kampala,-0.2499090909090909
14020002,Anugul,Atthamallik,Kandhapada,-0.2527368421052631
14020013,Anugul,Atthamallik,Kantapada,-0.5113076923076924
14020001,Anugul,Atthamallik,Kiakata,-0.2374117647058823
14020018,Anugul,Atthamallik,Krutibaspur,-0.4826666666666667
14020005,Anugul,Atthamallik,Kudagaon,-0.258
14020024,Anugul,Atthamallik,Kurumtap,-0.4171249999999999
14020010,Anugul,Atthamallik,Luhasinga,-0.4458999999999999
14020004,Anugul,Atthamallik,Lunahandi,-0.28
14020006,Anugul,Atthamallik,Madhapur,-0.0848181818181818
14020012,Anugul,Atthamallik,Maimura,-0.5926428571428571
14020008,Anugul,Atthamallik,Nagaon,-0.5042857142857143
14020020,Anugul,Atthamallik,Paikasahi,-0.4844736842105263
14020021,Anugul,Atthamallik,Pedi Pathar,-0.3480833333333333
14020007,Anugul,Atthamallik,Puruna Manitri,-0.3525999999999999
14020019,Anugul,Atthamallik,Sanahula,-0.4633529411764706
14020022,Anugul,Atthamallik,Sapaghera,-0.5052666666666666
14020014,Anugul,Atthamallik,Tapdhol,-0.3804166666666667
14020015,Anugul,Atthamallik,Thakurgarh,-0.4875294117647059
14020016,Anugul,Atthamallik,Tusar,-0.2885555555555555
14060026,Anugul,Banarpal,Badahinda Hinsara,-0.1043333333333333
14060021,Anugul,Banarpal,Badakerjang,-0.087
14060018,Anugul,Banarpal,Balaram Prasad,0.4841111111111111
14060035,Anugul,Banarpal,Banarpal,0.361
14060022,Anugul,Banarpal,Bauligarh,-0.0338333333333333
14060033,Anugul,Banarpal,Benagadia,0.2795
14060024,Anugul,Banarpal,Bhogoberini,0.3962857142857143
14060023,Anugul,Banarpal,Bonda,0.393875
14060017,Anugul,Banarpal,Budhapanka,0.4063076923076923
14060011,Anugul,Banarpal,Fulpada,-0.0694545454545454
14060014,Anugul,Banarpal,Gadasantri,0.094125
14060032,Anugul,Banarpal,Giranga,0.541
14060016,Anugul,Banarpal,Gotamara,0.526
14060030,Anugul,Banarpal,Jamunali,0.1076999999999999
14060027,Anugul,Banarpal,Jarada,0.0525
14060005,Anugul,Banarpal,Jarasingha,0.5023333333333334
14060008,Anugul,Banarpal,Kanda Sara,0.3683333333333333
14060001,Anugul,Banarpal,Kanjara,-0.1338333333333333
14060004,Anugul,Banarpal,Karada Gadia,0.367875
14060019,Anugul,Banarpal,Kukudanga,0.5348333333333333
14060009,Anugul,Banarpal,Kulad,0.53325
14060006,Anugul,Banarpal,Kumanda,0.68025
14060020,Anugul,Banarpal,Kurudola,0.37775
14060013,Anugul,Banarpal,Mahidharpur,-0.0261111111111111
14060015,Anugul,Banarpal,Nuahata,0.3021818181818182
14060028,Anugul,Banarpal,Ranigoda Jungle,0.7408333333333333
14060007,Anugul,Banarpal,Sakosingha,0.333875
14060025,Anugul,Banarpal,Sankerjang,0.2587272727272727
14060034,Anugul,Banarpal,Santarapur,-0.015125
14060002,Anugul,Banarpal,Santrapur,0.09
14060012,Anugul,Banarpal,Talamul,-0.0926
14060031,Anugul,Banarpal,Talamulsasan,-0.011625
14060003,Anugul,Banarpal,Tube,0.043
14060010,Anugul,Banarpal,Tulasipal,0.1876666666666666
14060029,Anugul,Banarpal,Turanga,0.5988571428571429
14030022,Anugul,Chhendipada,Bagedia,-0.0001666666666666
14030033,Anugul,Chhendipada,Bahalasahi,-0.2285555555555555
14030012,Anugul,Chhendipada,Balipata,-0.2928461538461538
14030031,Anugul,Chhendipada,Barapada,-0.3180909090909091
14030024,Anugul,Chhendipada,Barasahi,-0.1881428571428571
14030032,Anugul,Chhendipada,Basantapur,-0.3592
14030018,Anugul,Chhendipada,Brahman Bila,-0.2059090909090908
14030019,Anugul,Chhendipada,Changudia,-0.3250909090909091
14030021,Anugul,Chhendipada,Chhendipada,-0.0515454545454545
14030002,Anugul,Chhendipada,Durgapur,-0.1933333333333333
14030004,Anugul,Chhendipada,Jarapada,0.0574999999999999
14030005,Anugul,Chhendipada,Jeranga Dehuri Sahi,-0.241875
14030020,Anugul,Chhendipada,Kampasala,-0.3125
14030034,Anugul,Chhendipada,Kanaloi,-0.2221
14030030,Anugul,Chhendipada,Kankarei,0.0091666666666666
14030001,Anugul,Chhendipada,Katada,-0.3358571428571428
14030003,Anugul,Chhendipada,Korada,-0.27075
14030011,Anugul,Chhendipada,Kosala,-0.2133333333333333
14030015,Anugul,Chhendipada,Kukurpeta,-0.0104999999999999
14030013,Anugul,Chhendipada,Kusakila,-0.1906666666666666
14030014,Anugul,Chhendipada,Machhakuta,-0.2792727272727273
14030029,Anugul,Chhendipada,Natada,0.121875
14030009,Anugul,Chhendipada,Nisa Kankarei,0.27875
14030025,Anugul,Chhendipada,Nuagaon,-0.1986
14030006,Anugul,Chhendipada,Para,-0.285375
14030008,Anugul,Chhendipada,Paranga,0.3926
14030027,Anugul,Chhendipada,Pata Kumunda,-0.2506153846153846
14030023,Anugul,Chhendipada,Patrapada,-0.1394615384615384
14030010,Anugul,Chhendipada,Raijharana,-0.143375
14030017,Anugul,Chhendipada,Similipala,-0.32425
14030026,Anugul,Chhendipada,Tangiri,-0.1714375
14030016,Anugul,Chhendipada,Tentulei Kodasahi,-0.0926666666666666
14030007,Anugul,Chhendipada,Tukuda,-0.0027499999999999
14030028,Anugul,Chhendipada,Ugi,-0.1955555555555555
14070019,Anugul,Kaniha,Arakil,-0.3389090909090909
14070013,Anugul,Kaniha,Bada Gunduri,-0.2812857142857142
14070002,Anugul,Kaniha,Bada Tribida,-0.17025
14070020,Anugul,Kaniha,Bajrakota,-0.2447142857142857
14070023,Anugul,Kaniha,Balipasi,-0.434952380952381
14070004,Anugul,Kaniha,Bijigol,0.0562727272727272
14070025,Anugul,Kaniha,Biru,-0.1937499999999999
14070010,Anugul,Kaniha,Burukuna,-0.1878333333333333
14070016,Anugul,Kaniha,Dalaka,-0.184
14070015,Anugul,Kaniha,Deranga,-0.1879166666666666
14070027,Anugul,Kaniha,Gadasila,-0.119
14070017,Anugul,Kaniha,Gandamala,-0.253
14070007,Anugul,Kaniha,Hanumanpur,-0.335
14070024,Anugul,Kaniha,Hariharpur,0.0005
14070003,Anugul,Kaniha,Jarada,0.0564
14070014,Anugul,Kaniha,Kakudia,-0.2877692307692307
14070005,Anugul,Kaniha,Kamarei,0.14225
14070006,Anugul,Kaniha,Kaniha,-0.0148333333333333
14070012,Anugul,Kaniha,Karnapala,-0.216076923076923
14070009,Anugul,Kaniha,Kulei,-0.1615454545454545
14070022,Anugul,Kaniha,Kuluma,-0.1321818181818181
14070011,Anugul,Kaniha,Parabila,-0.0733076923076923
14070021,Anugul,Kaniha,Rengali,-0.0029090909090909
14070008,Anugul,Kaniha,Samal,-0.095
14070001,Anugul,Kaniha,Sana Tribida,-0.1564545454545454
14070018,Anugul,Kaniha,Susuba,-0.1248571428571428
14070026,Anugul,Kaniha,Talapada,-0.2142499999999999
14080017,Anugul,Kishorenagar,Ambapal,-0.267
14080005,Anugul,Kishorenagar,Angapada,-0.4320769230769231
14080016,Anugul,Kishorenagar,Bamur,-0.1532666666666667
14080008,Anugul,Kishorenagar,Bileinali,-0.4788571428571428
14080018,Anugul,Kishorenagar,Dhaura Palli,-0.282
14080019,Anugul,Kishorenagar,Dhudurapal,-0.4125999999999999
14080010,Anugul,Kishorenagar,Gaon Bainda,-0.0603999999999999
14080009,Anugul,Kishorenagar,Handapa,-0.3145
14080004,Anugul,Kishorenagar,Himitira,-0.4288125
14080021,Anugul,Kishorenagar,Jairat,-0.3568461538461538
14080012,Anugul,Kishorenagar,Jamunali,-0.2967333333333333
14080006,Anugul,Kishorenagar,Jharabereni,-0.2744666666666667
14080002,Anugul,Kishorenagar,Kadali Munda,-0.3833125
14080013,Anugul,Kishorenagar,Kantei Kolia,-0.3432352941176471
14080020,Anugul,Kishorenagar,Kataranga,-0.3017999999999999
14080023,Anugul,Kishorenagar,Luha Munda,-0.1405555555555555
14080014,Anugul,Kishorenagar,Nakchi,-0.3903888888888889
14080011,Anugul,Kishorenagar,Nunuka Pasi,-0.0123333333333333
14080015,Anugul,Kishorenagar,Oskapali,-0.2697058823529412
14080001,Anugul,Kishorenagar,Raniakata,-0.4711999999999999
14080003,Anugul,Kishorenagar,Sanjamura,-0.4574444444444444
14080022,Anugul,Kishorenagar,Thelkonali,-0.262875
14080007,Anugul,Kishorenagar,Urukula,-0.4926923076923077
14040022,Anugul,Pallahara,Allori,-0.4065
14040012,Anugul,Pallahara,Badasada,-0.3516315789473684
14040017,Anugul,Pallahara,Balipasi,-0.0775
14040019,Anugul,Pallahara,Bandhabuin,-0.427
14040027,Anugul,Pallahara,Baradiha,-0.4699285714285715
14040014,Anugul,Pallahara,Batisuan,-0.295578947368421
14040015,Anugul,Pallahara,Chasagurujang,-0.1832727272727272
14040018,Anugul,Pallahara,Dimiriai,-0.1749285714285714
14040008,Anugul,Pallahara,Injidi,-0.3097857142857143
14040024,Anugul,Pallahara,Iswarnagar,-0.2057692307692307
14040011,Anugul,Pallahara,Jharabeda,-0.4967333333333333
14040004,Anugul,Pallahara,Karadapal,-0.3802272727272727
14040003,Anugul,Pallahara,Khamara,-0.144
14040005,Anugul,Pallahara,Khemala,-0.4009375
14040007,Anugul,Pallahara,Kunjam,-0.2045882352941176
14040010,Anugul,Pallahara,Munduribeda,-0.2950833333333333
14040021,Anugul,Pallahara,Nagira,-0.4686666666666667
14040023,Anugul,Pallahara,Namaposhi,-0.5055
14040016,Anugul,Pallahara,Nijigada,-0.0139999999999999
14040013,Anugul,Pallahara,Pabitrapur,-0.3985833333333333
14040002,Anugul,Pallahara,Parachhata,-0.3292857142857143
14040026,Anugul,Pallahara,Pechamundi,-0.3978235294117647
14040006,Anugul,Pallahara,Rajadang,-0.16275
14040009,Anugul,Pallahara,Rohila,-0.4059411764705882
14040020,Anugul,Pallahara,Saida,-0.3705
14040001,Anugul,Pallahara,Sankhamur,-0.3370714285714286
